"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Transition_Rates","Key"
"My->Ps",0,10,0.636,3.23e-05,1,0.1,2.2,0.0781,"My->Ps"
"Nh->Ps",0,4,0.758,0.954873307,1,0.6,5.1,0.0765,"Nh->Ps"
"Ph->Ps",0,16,0.434,0.006230689,1,0.5,1.3,0.0767,"Ph->Ps"
"Tb->Ps",0,20,0.865,0.425094541,1,2,5.9,0.061,"Tb->Ps"
"Ap->Tb",0,26,0.923,0.773330991,1,2.1,3.4,0.0403,"Ap->Tb"
"Ef->Tb",1,29,1.016,0.468980589,1,1.6,2.1,0.0424,"Ef->Tb"
"Lb->Tb",0,0.1,0.839,0.420313775,0,1.5,2.5,0.0285,"Lb->Tb"
"Lbl->Tb",0,3,0.761,0.597385233,0,1.5,2.5,0.0398,"Lbl->Tb"
"Lc->Tb",1,41,0.671,0.465824797,0,0.1,5,0.0364,"Lc->Tb"
"Li->Tb",0,37,0.821,0.950586329,0,0.5,3.891836735,0.04,"Li->Tb"
"Ln->Tb",0,6,0.982,0.420153215,0,1.6,3.3,0.0358,"Ln->Tb"
"Ls->Tb",0,11.3,0.877,0.83800085,0,1.5,2.5,0.0393,"Ls->Tb"
"Lx->Tb",0,37,0.749,1,0,0.5,3.891836735,0.0401,"Lx->Tb"
"Ma->Tb",0,12,0.989,0.7697533,1,0.85859375,3.891836735,0.04,"Ma->Tb"
"Mc->Tb",0,14,0.912,0.666837643,1,2.6,6.7,0.0435,"Mc->Tb"
"Ml->Tb",0,7,0.931,0.295869594,1,2.2,4,0.0446,"Ml->Tb"
"My->Tb",0,10,0.975,0.629826356,1,1.9,3.7,0.0412,"My->Tb"
"Nh->Tb",0,16,1.011,0.61104878,1,1.4,0.8,0.0403,"Nh->Tb"
"Ph->Tb",0,36,0.791,0.869517695,0,2.5,4.6,0.0405,"Ph->Tb"
"Ps->Tb",0,20,0.865,0.448927218,1,2,5.9,0.0362,"Ps->Tb"
