"","Transitions","subsetDeff","subsetDgeo","Ori_Pop_Size","Dest_Pop_Size","Key"
"GB->BO",0,5.523,9871.3429,62262000,10624000,"GB->BO"
"GF->BO",0,5.9476,2858.9235,224000,10624000,"GF->BO"
"GR->BO",0,7.8582,11260.6258,10787000,10624000,"GR->BO"
"HK->BO",0,6.97,19450.4382,7103000,10624000,"HK->BO"
"ID->BO",0,8.9385,17744.5115,237641000,10624000,"ID->BO"
"IN->BO",0,8.5547,16361.5312,1210570000,10624000,"IN->BO"
"IS->BO",0,5.4332,9756.0642,320000,10624000,"IS->BO"
"IT->BO",0,6.6211,10344.2687,59464000,10624000,"IT->BO"
"JP->BO",1,5.4339,17046.7249,127300000,10624000,"JP->BO"
"KH->BO",0,10.1026,18841.3145,13396000,10624000,"KH->BO"
"KR->BO",0,6.3021,17556.5859,48580000,10624000,"KR->BO"
"LA->BO",0,9.9947,18787.2131,6256000,10624000,"LA->BO"
"LK->BO",0,9.59,16138.1747,20653000,10624000,"LK->BO"
"LV->BO",0,8.3288,11591.8609,2070000,10624000,"LV->BO"
"MD->BO",0,9.6747,11752.2697,3560000,10624000,"MD->BO"
"MM->BO",0,9.9366,18077.2272,47963000,10624000,"MM->BO"
"MY->BO",0,9.4396,18455.2146,30017000,10624000,"MY->BO"
"NL->BO",0,6.096,10251.9747,16838000,10624000,"NL->BO"
"NO->BO",0,8.1939,11056.1331,5009000,10624000,"NO->BO"
"NP->BO",0,10.5561,16846.869,26621000,10624000,"NP->BO"
"NZ->BO",0,6.3273,11114.6172,4434000,10624000,"NZ->BO"
"PE->BO",0,2.8008,1272.1196,30135000,10624000,"PE->BO"
"PH->BO",0,6.9329,18817.206,92340000,10624000,"PH->BO"
"PT->BO",0,5.3523,8029.464,10487000,10624000,"PT->BO"
"PY->BO",0,2.3161,1242.2065,6382000,10624000,"PY->BO"
"RO->BO",0,8.792,11370.9947,19043000,10624000,"RO->BO"
"RS->BO",0,8.6181,11047.368,7120000,10624000,"RS->BO"
